# boundary_array
(90.00, -90.00, 180.00, -45.00)
(0.00, -90.00, 90.00, -45.00)
(45.00, -45.00, 90.00, -22.50)
(22.50, -45.00, 45.00, -33.75)
(0.00, -45.00, 22.50, -33.75)
(11.25, -33.75, 22.50, -28.13)
(5.63, -33.75, 11.25, -30.94)
(2.81, -33.75, 5.63, -32.35)
(0.00, -33.75, 2.81, -32.35)
(1.41, -32.35, 2.81, -31.64)
(0.00, -32.35, 1.41, -31.64)
(0.00, -31.64, 1.41, -30.94)
(1.41, -31.64, 2.81, -30.94)
(4.22, -32.35, 5.63, -31.64)
(2.81, -32.35, 4.22, -31.64)
(2.81, -31.64, 4.22, -30.94)
(4.22, -31.64, 5.63, -30.94)
(4.22, -30.94, 5.63, -30.24)
(2.81, -30.94, 4.22, -30.24)
(2.81, -30.24, 4.22, -29.53)
(4.22, -30.24, 5.63, -29.53)
(1.41, -30.94, 2.81, -30.24)
(0.00, -30.94, 1.41, -30.24)
(0.00, -30.24, 1.41, -29.53)
(1.41, -30.24, 2.81, -29.53)
(1.41, -29.53, 2.81, -28.83)
(0.00, -29.53, 1.41, -28.83)
(0.00, -28.83, 1.41, -28.13)
(1.41, -28.83, 2.81, -28.13)
(4.22, -29.53, 5.63, -28.83)
(2.81, -29.53, 4.22, -28.83)
(2.81, -28.83, 4.22, -28.13)
(4.22, -28.83, 5.63, -28.13)
(8.44, -30.94, 11.25, -29.53)
(7.03, -30.94, 8.44, -30.24)
(5.63, -30.94, 7.03, -30.24)
(5.63, -30.24, 7.03, -29.53)
(7.03, -30.24, 8.44, -29.53)
(7.03, -29.53, 8.44, -28.83)
(5.63, -29.53, 7.03, -28.83)
(5.63, -28.83, 7.03, -28.13)
(7.03, -28.83, 8.44, -28.13)
(8.44, -29.53, 11.25, -28.13)
(9.84, -28.13, 11.25, -27.42)
(8.44, -28.13, 9.84, -27.42)
(8.44, -27.42, 9.84, -26.72)
(9.84, -27.42, 11.25, -26.72)
(7.03, -28.13, 8.44, -27.42)
(5.63, -28.13, 7.03, -27.42)
(5.63, -27.42, 7.03, -26.72)
(7.03, -27.42, 8.44, -26.72)
(7.03, -26.72, 8.44, -26.02)
(5.63, -26.72, 7.03, -26.02)
(5.63, -26.02, 7.03, -25.31)
(7.03, -26.02, 8.44, -25.31)
